"date","yuan_rolling_vol","rupee_rolling_vol","yen_rolling_vol","franc_rolling_vol","euro_rolling_vol","pound_rolling_vol"
1999-09-14,2.31157732997942e-05,0.0011275486598362,0.00945568969375083,0.00697952686344435,0.00621555432167613,0.00583630395802805
1999-09-15,2.2657585405746e-05,0.0011275486598362,0.00958043497731762,0.00697686123005229,0.0062011101659156,0.00582456956552188
1999-09-16,2.29555163921426e-05,0.00112627037115162,0.00997807622581464,0.00687049888213841,0.00602027021924411,0.00604082816268044
1999-09-17,2.34185878770916e-05,0.00111086565580567,0.010633644485652,0.00681926861494391,0.00598277392519845,0.00604996124984049
1999-09-20,2.37281577192188e-05,0.00110583893807932,0.0105473934692701,0.00680991018793865,0.0059923668221848,0.00601995024682197
1999-09-21,2.36325166585567e-05,0.000939973007969351,0.010635505181655,0.00687072647987112,0.00598469690485392,0.00581345578290376
1999-09-22,2.35471474243076e-05,0.000884987195295012,0.0106317427366852,0.00683913099309263,0.00593516610342131,0.00548830213240422
1999-09-23,2.36856603056441e-05,0.000882744833872992,0.0105356039410999,0.00682361650209383,0.00591464989673455,0.00540992401560644
1999-09-24,2.36856486681266e-05,0.000875586242557515,0.010413244581096,0.00692964332926091,0.00599614172647707,0.00542264904607226
1999-09-27,2.35471172986236e-05,0.000872528802325278,0.0111484696586463,0.00687214797142446,0.00591817463543517,0.00540004354872407
1999-09-28,2.18623798501544e-05,0.000940258134293845,0.0111358901953535,0.0070375954382554,0.00608876409928963,0.00535740350294232
1999-09-29,1.9834507855322e-05,0.000930760958347832,0.0112342420917583,0.00729894454508706,0.0063279884900893,0.0054216544977124
1999-09-30,2.04137865944956e-05,0.00104786990044848,0.0109068631559877,0.00731776620859726,0.00633066698194759,0.00539927752858593
1999-10-01,1.99986501744549e-05,0.00118856185550173,0.011126824327956,0.00714250404942365,0.00600361263868101,0.00514102931464563
1999-10-04,1.99986501744549e-05,0.00118856185550173,0.0113856764962526,0.00713377082103562,0.00600888333488478,0.0050953663945387
1999-10-05,2.65316711769192e-05,0.00115538832766675,0.0114390941540295,0.00685036132984668,0.00572998668072471,0.00505355052727052
1999-10-06,3.13033096134461e-05,0.00105474047129847,0.0115070933705601,0.00672431092776344,0.00565518398438925,0.00475929223181226
1999-10-07,3.09367364158293e-05,0.000985765782508473,0.0115093664773792,0.00664089789093959,0.0055803677981397,0.00466023130049581
1999-10-08,3.11959083459659e-05,0.00107665103178987,0.0114381915441967,0.00689351352239031,0.00581744675256908,0.00466530806973135
1999-10-12,3.61015746103389e-05,0.00107315378268848,0.0115541365786508,0.00715229694825482,0.00606402415895217,0.00466381145244515
1999-10-13,3.74585026943069e-05,0.00106646721872731,0.0117605635535904,0.00713747005241917,0.00605113164579576,0.00465800812073259
1999-10-14,3.80362363216201e-05,0.00106646721872731,0.0114144374135591,0.00678536828395738,0.00564520429625591,0.0040960279590394
1999-10-15,3.80362307797226e-05,0.00106729070727844,0.0116810375041151,0.00697043292821036,0.00580424871539427,0.0041085705777522
1999-10-18,3.7870460154592e-05,0.00105782580748932,0.0116987320853698,0.00661791298701029,0.00556734428033527,0.00407558597966375
1999-10-19,3.76639081280982e-05,0.00116269741134345,0.0116438213623591,0.00642942904531098,0.005375151753718,0.00397532211218408
1999-10-20,3.76639115719616e-05,0.00124353818022144,0.0116123949301867,0.00658155283586139,0.00550099749103736,0.00408925501480136
1999-10-21,3.79036801713798e-05,0.00124317334300113,0.0116058423395747,0.0066094052973846,0.00553610341985373,0.00405456482984822
1999-10-22,3.77373489869782e-05,0.00124207693424307,0.0105374747105612,0.00727141840140093,0.00594195797252578,0.00434040384092804
1999-10-25,3.82999915784258e-05,0.00132490045426617,0.0103881052862197,0.00644557048912149,0.0053444809374099,0.00395362825332134
1999-10-26,3.86597000975489e-05,0.0013190913566879,0.00929393039478152,0.00672331197418343,0.00559642509584303,0.00399183026842392
1999-10-27,3.83350410808435e-05,0.00141825703053694,0.0092337461288954,0.00678203554267633,0.00566783323560563,0.00404657076577346
1999-10-28,3.81178016225834e-05,0.00141853555941637,0.00895031850447316,0.0067730063404234,0.00565512752037387,0.0041651749832149
1999-10-29,3.80296460787569e-05,0.00141749065354277,0.0087716664613299,0.0067289372941282,0.00563184930034868,0.00388342259831439
1999-11-01,3.785941099864e-05,0.00141749065354277,0.00811638531403973,0.00671831361103659,0.0056384935730227,0.00387603718621624
1999-11-02,3.78593763127255e-05,0.00143717504916151,0.00808128964692702,0.00672210633005383,0.00563967609841399,0.00389540312654357
1999-11-03,3.78593763127255e-05,0.00143459376989757,0.00777818274557713,0.00661984421860517,0.00558407884607364,0.00380398188019501
1999-11-04,3.77195327329005e-05,0.00142190250352624,0.00769449822437281,0.00666094907396351,0.00559341603520841,0.00383671061048023
1999-11-05,3.77195274142105e-05,0.00142068831574701,0.00832456957403011,0.00655457995279802,0.00543614050733793,0.00428167401194658
1999-11-08,3.76371600165236e-05,0.00142190798575293,0.00839388304734742,0.00644730047500248,0.00539043402063956,0.00426164313583312
1999-11-09,3.768392630159e-05,0.00142190798575293,0.00784411279213932,0.00647609097843697,0.00540691316383242,0.00431496837529522
1999-11-10,3.77261873608519e-05,0.00136204582442435,0.00785244719393387,0.00635320895084461,0.00525963222005265,0.00432847519708405
1999-11-12,3.78172239044584e-05,0.0013572568366262,0.00788530420220496,0.00629921375646012,0.00530406940649904,0.00447236738703967
1999-11-15,3.73170951558849e-05,0.00128415267635783,0.00791636938318159,0.00625179580408751,0.00525969863986427,0.00461687764622398
1999-11-16,3.73170951558849e-05,0.00112818854923522,0.00751664295746632,0.00588036929480731,0.0050377813764478,0.00451383394808314
1999-11-17,3.73170951558849e-05,0.00112852114512443,0.00720432666173062,0.00615407293023174,0.00536269081961303,0.00459920425805332
1999-11-18,3.29299286023695e-05,0.00112852114512443,0.0071536442160484,0.00635583472441107,0.0056247165308885,0.00466323122396859
1999-11-19,2.8141950082991e-05,0.00112770249340908,0.0070944816039958,0.00635694548860307,0.00563287597138977,0.0046392909600585
1999-11-22,2.8141950082991e-05,0.00111308755334692,0.00738932983976912,0.00637516596406886,0.00562904486670701,0.00467430895761543
1999-11-23,2.79715412732925e-05,0.00103717629326983,0.00745165783465419,0.00623853204223341,0.00554750049889713,0.00469632819690363
1999-11-24,2.09687096636365e-05,0.00103717629326983,0.00729267163637027,0.0058970552814538,0.00527507109507803,0.00493263519873236
1999-11-26,1.82066122869928e-05,0.00104524378164067,0.00809218178952662,0.00584682216060509,0.00523925815398667,0.00493292101439295
1999-11-29,1.66320525709355e-05,0.0010637208417299,0.00810529680602242,0.00576249245371488,0.0051311054004862,0.00489253165638877
1999-11-30,1.84259123813816e-05,0.00108637181388939,0.00778408061748311,0.00529046444176017,0.00474475893838416,0.00473432214831784
1999-12-01,1.81553532306086e-05,0.00108094080030567,0.00784840804300764,0.00529194705150112,0.00474650299534769,0.00471973332029712
1999-12-02,1.81552778969946e-05,0.0009523605869538,0.00779646734337738,0.00528865138737287,0.00475006667965772,0.00473627101527447
1999-12-03,1.84121045616718e-05,0.000851083349024151,0.00767918193927703,0.00527107342558042,0.00470922707412995,0.00477387254484533
1999-12-06,1.83889959962467e-05,0.000854512361721047,0.00776846363673993,0.0066019543030204,0.00656530927689218,0.00525112501151643
1999-12-07,1.84117732064645e-05,0.000906978482055379,0.00784513983931018,0.00600390124545326,0.00627428608001232,0.00491887681187397
1999-12-08,1.90553106827242e-05,0.000756911783352084,0.00791407292147087,0.00605590679848134,0.00635293703201179,0.0048895139334276
